tweet,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
Modusin intan mulu lu bangsat @heruputra18 Fuck you guys,,,,
"IDIOT""@asty_derianaque: BEGO ""@rahmaaa1_: TOLOL""@asty_derianaque: BANGSAT ""@rahmaaa1_: BITCH""@asty_derianaque: FUCK ""@rahmaaa1_: BABI""@as",,,,
"BEGO ""@rahmaaa1_: TOLOL""@asty_derianaque: BANGSAT ""@rahmaaa1_: BITCH""@asty_derianaque: FUCK ""@rahmaaa1_: BABI""@asty_derianaque: TAI",,,,
"Bangsat israel, fuck israel",,,,
"Bangsat !!!
*fuck",,,,
Israel fuck you bangsat,,,,
Fuck israel bangsat !,,,,
"""@TheRawestMike: How can you support Israel? #PrayForGaza  https://twitter.com/TheRawestMike/status/488047291601670144/photo/1 pic.twitter.com/ugN3i8BoHnÂ "" yang ni paling kejam ! Fuck yourself israel bangsat !!!",,,,
#ISrael itu negara bangsat fuck you all bastard !!,,,,
@israel bangsat fuck,,,,
Kepala bangsat dia gambar last RT. Fuck You Israel !!,,,,
Fuck fuck fuck adik bangsat!!!!!!!!!!!!!,,,,
Fuck to zionis bangsat,,,,
Israel anjing fuck bangsat israel,,,,
israel bangsat fuck you,,,,
ISRAEL BANGSAT !! FUCK LAH,,,,
@Israel fuck you zionist.. Please stop attack on Gaza.. @netanyahu you like a animal.. fuck zionist bangsat jancok #PrayForGaza,,,,
Israel BANGSAT!!!! Fuck !,,,,
fuck @jodie_Alba Shut up bangsat @fajarnugrahabha,,,,
"Israel bener-bener bangsat dan banci, penakut, fuck israel, we hate israel. Save Palestine.....",,,,
"Galak RT @iqbalfake: bangsat RT @DVBBS: I just want to learn how to say FUCK in every language 

Teach me",,,,
"bangsat RT @DVBBS: I just want to learn how to say FUCK in every language 

Teach me",,,,
@netanyahu what the fuck your doing to palestine !!! I swear I curse you and your people to the hell anjing bangsat!!!,,,,
Israel bangsat FucK you YAHUDI,,,,
@ikidrauhlldemi HEY ISRAEL BITCH ! FREE PALESTINE!!! FUCK YOU! FUCK ISRAEL! DAMN ISRAEL! #BANGSAT LO ANJING!,,,,
"Israel binatang, bangsat,biadab . Fuck your israel !!!",,,,
"Jancooookkkkkk Israel ""@cessare_nino13: FUCK FUCK FUCK israel !!!""@masrifan6: Israel Bangsat! Israel Bajingan! Israel Jancoooookkk!!!""""",,,,
"FUCK FUCK FUCK israel !!!""@masrifan6: Israel Bangsat! Israel Bajingan! Israel Jancoooookkk!!!""",,,,
Bangsat ah! Pantat! Fuck! Arghh!!,,,,
Fuck you.. Sumpah fuck you bangsat.. Dasar two face,,,,
Israel bangsat fuck,,,,
FUCK YOU @Israel bangsat,,,,
@achmadsandy91 fuck U !!!,,,,
LAST RETWEET BANGSAT FUCK,,,,
bangsat ISRAEL !! fuck babi,,,,
"Fuck israel fuck israel 
Israel bangsat anjing 
 #PrayForGaza",,,,
@fuckbangsat_ Follwed fani :),,,,
"""@luhratnaaa: Bangsat. Tai. Damn. Shit. Fuck. Mthrfckr ðŸ’©""",,,,
"""@luhratnaaa: Bangsat. Tai. Damn. Shit. Fuck. Mthrfckr ðŸ’©""",,,,
"kamu emang BANGSAT,.ANJING........
FUCK YOU SO MUCH",,,,
",FUCK YOU buat LO BANGSAT :/ (N)",,,,
Fuck!! Neymar injured! #COL main bangsat do..,,,,
Temen bangsat .FUCK.,,,,
"Fuck everything that doesn't make you happy!
teman itu bangsat, sahabat itu null.",,,,
What The Fuck buat PENIPU BANGSAT,,,,
AH. TRYNA TO STOP SAY ANJINH BANGSAT but.. fuck it. I'm just done with it.,,,,
Aaarrrghh Fuck it fuck of shit asshole bangsat !!!,,,,
Bangsat lo!fuck!,,,,
Reff bangsat! Fuck reff!,,,,
Bangsat fuck cabeee!!!!!!,,,,
"Fuck you tot, anjing... bangsat kau RT""@Davolub: Fuck Liverpool those loser..we taking Glory Glory Manutd """,,,,
"Mother fuck ..bangsat ,,ladub kubam ker",,,,
Bangsat! Fuck!,,,,
FUCK YOU BANGSAT!!!,,,,
@24jmschool diam bangsat *fuck,,,,
BANGSAT!! FUCK,,,,
Fuck #Tp Bangsat !,,,,
can i slaps your face rn huh? youre so bangsat as fuck you know!,,,,
Tai anjing bangsat fuck fuck fuck !!,,,,
fuck shit dammit you bastard njing kesel gua bangsat urgh,,,,
"Bangsat pecundang fuck you,bangsat pengecut fuck you !!",,,,
Wasit bangsat fuck!,,,,
"Bangsat , fuck",,,,
@FerdiansSetiadi Fuck.... bangsat,,,,
Bangsat emang Del Bosque. Bikin David Villa nangis. It's his last WC match for fuck sake.,,,,
Fuck you ril! Bangsat loh!,,,,
@dhimasbhayu bangsat fuck TOT,,,,
Fuck fuck fuck bangsat,,,,
"Super duper anjings ""@FrhmndaAlmira: Very2 bitch jaw""@ki_rzkygi: Keparat bangsat ""@FrhmndaAlmira: This is fuck shit men""@ki_rzkygi:",,,,
"Keparat bangsat ""@FrhmndaAlmira: This is fuck shit men""@ki_rzkygi: @FrhmndaAlmira tai.""""",,,,
"""@TaoDumplr: BANGSAT! Fuck!""",,,,
BANGSAT! Fuck!,,,,
"""@ArryEsya: So bangsat , when aku seronok ws dengan my bae  tetiba battery phone 's getting critically low . Fuck off"" bae-rak",,,,
"So bangsat , when aku seronok ws dengan my bae  tetiba battery phone 's getting critically low . Fuck off",,,,
kasian tetangganya RT @069092: bangsat HAHAHAHAHA RT fuckboysehun: so whose falsetto is higher when they fuck,,,,
bangsat HAHAHAHAHA RT fuckboysehun: so whose falsetto is higher when they fuck,,,,
"BANGSAT KISSING OMG RT Baekyeoliee: FUCK IS THIS REALLY BAEKHYUN AND TAEYEON.....????? OHMYGOD  pic.twitter.com/hcssNmTA4U""",,,,
Fuck lah bangsat!,,,,
k-pop more like gay-pop fuck k-pop bangsat,,,,
bangsat FUCK FUCK FUCK. ada yang bajak FB gua.,'(),,,
Sial. Bangsat. Fuck,,,,
fuck fuck fuck lah germany bangsat!!,,,,
Bangsat!!!!setan!!!jablay!!!fuck!!!,,,,
@Fauzan_78860 Fuck you Bangsat,,,,
Reff bangsat !!!! Fuck you ass hole shit!!!!!,,,,
Fuckyou dad fuckyou bangsat!! â™« Fuck by Bring Me the Horizon (with @GalanaMrobby) â€”  https://path.com/p/2KUilkÂ ,,,,
"Sialan. Bangsat. Gembel. Pecundang""@fahmitriwili: Ghost. Dog. Pig. Damn it. Fuck. Absurd. Aaaasht""",,,,
fuck you lah sial @MaxisListens RT â€œ@faisalacai: Mxs bangsatâ€�,,,,
Fuck you loh bangsat!!  â•°_â•¯,,,,
Fuck youu. Bangsat . Anjing,,,,
"Its your fucking nightmare RT @FirmanCHT: Emmm""@Nrmnhd: Bastard !!! RT @FirmanCHT: Apaan sih lo, fuck banget""@Nrmnhd: @firmancht bangsat lu",,,,
Bangsat hacked fuck,,,,
"Tapi being a socialist is not a big deal , the big deal comes when ada bangsat kata ""ko ni atheist ke ?"" what the actual fuck is going on",,,,
"fuck fuck fuck
bangsat bangsat bangsat........",,,,
FUCK!!! BANGSAT!!!!!!,,,,
"Anjing, bangsat, keleng, fuck you, *ES* no good, fucking you, I am sporting thing about me.",,,,
Stadium singing Fuck You to and Bangsat pada referee bodoh. Selangor 0 - ATM 1,,,,
"NAH LHO ""@gizzieghei: Bangsat. RT channieo: ""exo's penis size"" what the actual fuck  pic.twitter.com/WIqLmZqdL5""",,,,
"eh? -- ""@BASSAICO: That she say me bangsat RT @RAPPERHOWON: what the fuck. @JYHCNB89: FannyHwang09: Apa bagusnya  https://twitter.com/BASSAICO/status/477396265630584833/photo/1 pic.twitter.com/7h81jApMhvÂ """,,,,
Bangsat pancen malinge !! FUCK,,,,
Fuck you @Tahrimlqmn penat bangsat,,,,
@muhakram_ Bangsat Lo @muhakram_ Fuck you,,,,
Fuck u bangsat!,,,,
Bangsat.. fuck you,,,,
Bangsat fuck????,,,,
Bullshit emang ye lo! fuck! Bangsat!!,,,,
Di unfoll di delcont... Fuck lah bangsat ... !!!,,,,
"Suck up my dick""@Mrizaaaal45: Mong naon euy""@RizkySykes_69: WHAT THE FUCK ""@Mrizaaaal45: Kumaha sia bangsat""@RizkySykes_69:",,,,
"Mong naon euy""@RizkySykes_69: WHAT THE FUCK ""@Mrizaaaal45: Kumaha sia bangsat""@RizkySykes_69: Are you crazy mother fucker=))""",,,,
Bangsa pecundang FUCK YOU!!,,,,
Fuck day ever bangsat!!!!,,,,
"WHAT THE FUCK ""@Mrizaaaal45: Kumaha sia bangsat""@RizkySykes_69: Are you crazy mother fucker=))""""",,,,
"BANGSAT LO ye lama "" !

Fuck for N",,,,
Sexual assault kalo kata orang awam :)) RT @foaei: Bangsat banget ini orang!! fuck! :))) How To Get Girls To Kiss You  http://youtu.be/RTuBf4BrIgEÂ ,,,,
Bangsat banget ini orang!! fuck! :))) -> How To Get Girls To Kiss You.:  http://youtu.be/RTuBf4BrIgEÂ ,,,,
Fuck Bangsat !!!,,,,
"bangsat,shut the fuck up motherfucker!shocking a bullshit your fucking mouth...keparat! â€” sebal",,,,
"""@FaEzUaNaQeM1: @SampahRemajaKL orang johor mmg bangsat :3"" i think u yg bangsat ppl. dont think u are the best when u talk like that! fuck",,,,
that bangsat  .  when someone you bla bla bla bla doesn't give a fuck abt you.,,,,
@AshhLiyy_ fuck you. Hahahaha. bangsat,,,,
"Bangsat rewel,fuck!",,,,
What the fuck !!! Bangsat !!,,,,
"""@hasifjohari: Quote tweet then maki orang ? hackers ? what the fuck *tenetnetnettenet*"" bangsat",,,,
"@kpopdaiiy go to hell! Bitch!! Fuck for you! Asu anjing bangsat! Jiyeon is perfect, you is bitch!",,,,
Event BANGSAT!!!!!! FUCK,,,,
"Lu ngapa ko ?""@jokomantony2: *nyanyi*bang OCIT bangsat,fuck you fuck you fuck you""",,,,
"fuck you B... A......:-@
anjing loe bangsat .!!",,,,
Fuck this bangsat!,,,,
haha fuck fuck fuck. bangsat bangsat!,,,,
"""@lukemanhakiem: Happy Birthday @afiq_rsln ! fuck you eshole ! dan tak lupa kau bangsat! _|_ xD""",,,,
Bangsat *fuck*,,,,
Fuck !! Bangsat,,,,
":-P ""@Ischaliawati_: Good (y) RT @Annto_Buzz: Yess @Ischaliawati_: Fuck lah buat org bangsat  https://twitter.com/Ischaliawati_/status/473481278642487296/photo/1 pic.twitter.com/oLWcBHLh4xÂ """,,,,
"Yess""@Ischaliawati_: Fuck lah buat org bangsat  https://twitter.com/Ischaliawati_/status/473481278642487296/photo/1 pic.twitter.com/oLWcBHLh4xÂ """,,,,
"Fuck off , bangsat , naskleng !",,,,
Bangsat!!!! Lu emang bangsat! Fuck you bitch !,,,,
Bangsat loh ! (Fuck),,,,
"Yg bangsat itu bkn parents tp tanggalnya, go fuck u clearly donâ€™t understand how precious theyre to me. Fuck national exam im sick at this!!",,,,
Fuck buat she bangsat,,,,
Fuck / Bangsat / Jancok ? #RadakGesrek,,,,
"Fuck you fuck you fuck you fuck you....
Tai lah bangsat lah pokok'y fuck you...",,,,
You are one hell of a stupid fuck. I did NOT call you names. And looky here you called me bangsat first. Such a imbecile attention seeker.,,,,
"Fuck,jing,tot,bangsat,tai lahhhh !!!",,,,
kunaon ai maneh -_-RT @udelyusuf1: @huge_momos @ScimmiamiPLSR  you you you fuck bangsat,,,,
@huge_momos @ScimmiamiPLSR  you you you fuck bangsat,,,,
"KAMU tau bangsat?

fuck you PlayGIRL !",,,,
FUCK BANGSAT !,,,,
"ANJING POLISI BANGSAT GET A PROPER JOB YOU DICKS, GO FUCK YOURSELF",,,,
Bangsat! Fuck!,,,,
"Fuck FAM 
FAM  bangsat !",,,,
bangsat ci bangsat fuck you fuck,,,,
Cowok bangsat (n) *Fuck You* :p Lol,,,,
".Fuck Cok, Bangsat...!!!",,,,
FUCK OFF THE REAL BANGSAT :*,,,,
Fuck bangsat !,,,,
sabaaaarr ndell{} RT @elenyvanka: emang bener lo anjing bangsat!!!!! fuck you bitch!!!!,,,,
emang bener lo anjing bangsat!!!!! fuck you bitch!!!!,,,,
fuck bangsat!,,,,
"""Literatur darimana?""... FUCK 8'( #gabisangarang #bangsat #ngarangadalahdosa #padahalkreatif",,,,
@Real_KHK FUCK U KPOP!KPOP BANGSAT,,,,
fuck!!! Bangsat,,,,
Bangsat fuck shit,,,,
fuck lappy cam bangsat,,,,
Wasit BANGSAT lah!!!!FUCK!!!!,,,,
"Fuck you bitch""@mochammad_nazmi: Wasitnya goblog anjing fuck youu babi setan bangsat jancok gobloggggggggggg fuckkk anjingggggg!!!!!!!!!!!!""",,,,
WASIT BANGSAT... FUCK,,,,
What the fuck bangsat !!,,,,
Goaaal siah arema bangsat. FUCK CRONUS,,,,
"Bangsat ""@najongen_: NYING!!""@SOUKOR: everybody is naked????????!! Let out the beast????? FUCK""""",,,,
"KOK BANGSATâ€œ@ofcbaek: FUCKâ€œ@xoexo12: ANJING.""sehunownsme: THE VIDEO FOR LET OUT THE BEAST EVERYBODY IS NAKED""â€�",,,,
REFEREE BANGSAT ! DOUBLE FUCK,,,,
Fuck ahh reff bangsat,,,,
Fuck !!!!!! Bangsat !!!!!!,,,,
"godbye bangsat-,- â™« Fuck You Goodbye by Fred Gillen Jr. â€”  https://path.com/p/2eU9ASÂ ",,,,
Ahhh FUCK bangsat.,,,,
Say fuck for BANGSAT,,,,
"Garena bangsat!!! ""@_RonyHartono_: WHY MUST INDONESIA WHY...?! FUCK U LA! @aaldiMDN Screen shootnya @inDOTAnesia  https://twitter.com/aaldiMDN/status/461883615232552963/photo/1 pic.twitter.com/rMf6L7UyMcÂ """,,,,
FVCK THIS RT @luhanescent FUCK YOU LU BANGSAT RT @sehunownsme: LUHAN RAISED HIS SHIRT HIS ABS BYE,,,,
â€œ@terimakaxing: HAH APALU BILANG RT @over_dyose: FUCK THE BG PICS ARE THE BOYS TOPLESS GOD BLESS THE QUEENâ€� BANGSAT APAAM,,,,
"""@SOUKOR: LUHAN SLEEVELESS FUCK THIS SHIT""bangsat.",,,,
â€œ@NlALLGUCCI: Quote this tweet and add FUCK YOU in yout language pleaseâ€� bangsat lo ðŸ˜‚,,,,
â€œ@NlALLGUCCI: Quote this tweet and add FUCK YOU in yout language pleaseâ€� bangsat lo,,,,
"""@overdioskai: fuck""@exoqtpie: dafuq""@sugalmond: Bangsat  pic.twitter.com/dcMmJNzcqO""""""",,,,
"fuck""@exoqtpie: dafuq""@sugalmond: Bangsat  pic.twitter.com/7E80DVaLH1""""",,,,
â€œ@HORANXlETY: bagi bagi tiket gratis how bangsat you better give them to real fans who dont get a chance to see them fuck you all.â€�preach!!!,,,,
FUCKBANGSAT,,,,
"bangsat emg RT @GidodoTaMi Wakakak.. never play at home! ""@dickait: fuck low priority!!!!!!! usesless compendium""",,,,
"Willy wewe gue benci saat sama loooo bangsat!!!!!!!!!
Goes to hell!!!!
FUCKðŸ˜­ðŸ˜¢ðŸ˜‚ðŸ˜«ðŸ˜¡",,,,
Laptop bangsat. fuck!!!,,,,
Bodoh! Selfish! Go fuck yourself la bangsat _|_,,,,
@RSNRayer1 @TMohan18 @LogesMohan woi rayer...u a kind of fucking bastard born in msia...fuck u...fuck u...fuck DAPigs...haramjadah...bangsat,,,,
"Fuck, bangsat!!",,,,
"FUCK YEAH! CHAR DI AMBIL BALIK! BANGSAT ! -__-""",,,,
Fuck! Bangsat ! .,,,,
Fuck off seram bangsat,,,,
Lah bangsat-_- fuck!,,,,
@holyprfct fuck you bangsatðŸ˜‚ðŸ˜‚,,,,
@GREEKGOD96 omgg who taught you that word?? Lmao bangsat is more like fuck i think,,,,
Pengamen bangsat! Fuck,,,,
"bangsat, fuck!!!",,,,
"BANGSAT""@.KyungsooUpdates: KYUNGSOO'S A SMOKER?
WHO THE FUCK GONNA BELIEVE THAT JOKE  pic.twitter.com/B7j8YMxHD7""",,,,
Fuck haters:) bangsat.,,,,
Fuck! Wasit bangsat!,,,,
Ah bangsat fuck!,,,,
there were some raid just happen today.. FUCK KAPITALIS BANGSAT!!,,,,
aaahhh fuck!!! BANGSAT!!!!!,,,,
Bangsat! Fuck this!,,,,
Hassstttt fuck fuck... Bangsat,,,,
Reff dan pengulas bangsat !!! Fuck you,,,,
sm is like anjing bangsat fuck,,,,
Bangsat hp rusak lgi duit kaga ada lgi fuck fuck fuck fuck :'(:'(,,,,
"Santay in""@indraaanor: BANGSAT!!! Fuck You....!!!""",,,,
@Certan_BLS you bettet shut the fuck up bastard bitch whore slut fuck asu bajingan bangsat.. justin sm lo beda lah antara monyet sm neptunus,,,,
Babaturan BANGSAT fuck â”Œâˆ©â”� (â—£â—¢)â”Œâˆ©â”� å‡¸(Â¬â€¿Â¬)å‡¸,,,,
BANGSAT FUCK!!!,,,,
fuck for you bangsat !,,,,
"FUCK. THIS. GUY. ""Isma: Beware games of â€˜bangsa asingâ€™"" via /r/malaysia  http://ift.tt/1qxRlo5Â ",,,,
"@natiffs FUCK LO ,BANGSAT",,,,
TWITTER BANGSAT #FUCK,,,,
Fuck Of Police bangsat,,,,
"ANJING LAH

   BANGSAT
  SIAL..............

   THIS IS FUCK",,,,
"yea yes fuck you bitch RT @NCahyo69: Oh, jancok the fucking it all RT @Febiasto_Bima: i am fine su :D RT @NCahyo69: He Bangsat ? Hoaryu ?",,,,
Fuck you kirno!!!! Bangsat!!!!!!!!!,,,,
@paksugi wht the fuck u saying mate? I dont even get it. Bahasa bangsat apa ni? Kah!,,,,
"@MithaaaKA bangsat cabe""an. . Fuck",,,,
"Bangsat.
FUCK ;-> ;->",,,,
Fuck bangsat!,,,,
BANGSAT. BUSUK. FUCK FUCK FUCK!!!,,,,
@Jakampus fuck police BANGSAT!!,,,,
FUCK ismed bangsat,,,,
Clean up #fuck,,,,
Fuckbangsat!!,,,,
Yaa tailah! bangsat! fucking your fuck!! taiiiiii â”ŒÐŸâ”�(â—£_â—¢)â”ŒÐŸâ”�,,,,
Cok fuck bangsat!,,,,
"bangsat mana trendingkan you'll never win anything ni ?  baru 2 game tak menang , yang liverpool menang 11 straight game apadia ? fuck off",,,,
"Fuck off lahh RT""@Muhammadfaizpn: Mtk bangsat lah""",,,,
"Pengawas bangsat,anjing!! Fuck you..â˜¹",,,,
Fuck men!,,,,
":D 
What the fuck !
Bangsat.",,,,
reff bangsat !! FAM turut BANGSAT !!!!! Fuck OFF !!!,,,,
"Fuck,Bangsat!!!!",,,,
The bangsat moment is when you're downloading something using wifi and currently almost 90% and the wifi was dead instantly. Fuck!,,,,
"guys, you can say putangina or shit or fuck as a curse word but let me teach you something. there is a word we call

BANGSAT",,,,
"aduh bsk ""mtk, bajing, bangsat ,laknat, "" dafuq. made fucker fuck fuck fuck",,,,
fuck lo bangsat,,,,
bangsat kabeh anying (n) Fuck you,,,,
"RT""@jarbul_azab: FUCK TRENDY BANGSAT!!!!""",,,,
Ahhh fuck bangsat!!!,,,,
Anjing lo bangsat fuck you mthr!,,,,
"""EGOIS @siregarbromocor: Wkwk bangsat""@BancoRyan: Fuck ""@siregarbromocor: Rip""@Pwahyu07: ""Gay @BancoRyan: I love the way you love me""",,,,
"Wkwk bangsat""@BancoRyan: Fuck ""@siregarbromocor: Rip""@Pwahyu07: ""Gay @BancoRyan: I love the way you love me #EricMartin""""""""",,,,
TAN MANTAN BANGSAT HAHHAH FUCK,,,,
fuck cewe bangsat ..,,,,
yo fakin lah fakfakfak @Eghaadudung: Fuck lo bangsat,,,,
"Hm ""@paaulUD: Hush""@EndaAlexandria: MONYET BABI BAGONG IBLIS ANJING BANGSAT! FUCK TO DAY!""""",,,,
"Hush""@EndaAlexandria: MONYET BABI BAGONG IBLIS ANJING BANGSAT! FUCK TO DAY!""",,,,
MONYET BABI BAGONG IBLIS ANJING BANGSAT! FUCK TO DAY!,,,,
@godsgirl8494 @drewsolitario hey you #BANGSAT yaaa !!! @drewsolitario !!!! #FUCK you !!!!,,,,
Gua benci ama loh bangsat.. ! Fuck fuck fuck,,,,
Poor chelsea... Fuck mou...!!!,,,,
Bangsat ! Fuck for Wasit .,,,,
"""@nouiscoop: too bad indonesia doesnt have cool swear words like putangina or fuck people here are too polite"" bangsat sounds cute oops",,,,
"""@angelvanni_11: @DiliaMSLopez fuck you too bangsat""",,,,
@topeleven fuck.   I buying player    tidak dapat.  Bangsat.   Indoneaian league,,,,
Anjrit....I hate this day...bangsat ahhh...Ini hari tersial gue. Goddamn...Bitch you really fuck.,,,,
"Bangsat ini meireles ""@StupidFootball: Raul Meireles doesn't give a fuck.  pic.twitter.com/FSSuR4IWhS""",,,,
Bang..bang. Bangsat..fuck,,,,
FUCK BANGSAT!!,,,,
Bangsat!!!!!! Fuck,,,,
BANGSAT MOMENT IS HAPPEN AGAIN!! WHEN ITS OVER? FUCK THAT BITCH!!,,,,
Bangsat lah !!fuck!!,,,,
"Keparat! Bangsat! Penjahat dalam taxi, you fuck!! (with Astrid) [pic] â€”  https://path.com/p/3Gf9LLÂ ",,,,
FUCK! BANGSAT!,,,,
fuck. RT @eunhaerror: bangsat.  pic.twitter.com/3zHWcJ7Agg,,,,
Bangsat lu!!fuck ahh,,,,
Kaw bangsat anjing PENGHIANAT !! Fuck Fuck Fuck,,,,
Fuck cok gawe raimu :@ #Bangsat,,,,
Fuck you!! We are 28 april. Heavy beerday bangsat!!,,,,
"Bangsat, fuck lah...",,,,
"Bangsat !!! Keparat !!! Sial !!! FUCK YOU @chelseafc !!!
@LFC @OfficialLFC_ID I'm Done. Well It's Not Our Time :-(",,,,
Bangsat monyet fuck asshole bastard,,,,
fuck! Bangsat,,,,
"""@ADfadilIrawan: Sepi bosan anjing bangsat fuck fuck fuck""",,,,
FUCK BANGSAT,,,,
Beteri going bangsat now. Fuck. 9 percent left,,,,
"dah lah, males gua kalo gini... fuck fuck fuck for all

bangsat",,,,
BANGSAT ANJING MONYET FUCK YOU OLD..........,,,,
"fuck....
bangsat....",,,,
FUCK TRENDY BANGSAT!!!!,,,,
Anjing bangsat setan tai guru gue dateng fuck you go die I don't need grade I need WWA live stream,,,,
Ahh bangsat fuck lahh headset ilang!,,,,
Bangsat tweet gua !!! Fuck lah,,,,
